SEX,AGE,2014,2019
0,0,3954787,3783052
0,1,3948891,3829599
0,2,3958711,3922044
0,3,4005928,3998665
0,4,4004032,4043323
0,5,4004576,4028281
0,6,4133372,4017227
0,7,4152666,4022319
0,8,4118349,4066194
0,9,4106068,4061874
0,10,4114558,4060940
0,11,4084457,4189261
0,12,4067187,4208387
0,13,4168095,4175221
0,14,4231353,4164459
0,15,4162828,4175459
0,16,4165925,4150420
0,17,4181940,4142425
0,18,4221344,4255827
0,19,4320789,4330439
0,20,4410910,4269683
0,21,4480266,4278323
0,22,4604115,4298772
0,23,4692295,4341644
0,24,4686353,4444518
0,25,4501246,4539058
0,26,4397165,4611220
0,27,4324796,4733869
0,28,4345247,4818725
0,29,4382190,4806144
0,30,4246947,4614384
0,31,4314451,4502311
0,32,4314207,4421505
0,33,4268221,4432973
0,34,4353984,4460132
0,35,4084165,4315866
0,36,4004418,4372444
0,37,3964439,4361286
0,38,3848856,4305576
0,39,3969337,4382349
0,40,3845825,4105313
0,41,3905797,4020254
0,42,4083824,3974741
0,43,4319265,3854040
0,44,4375450,3967275
0,45,4147532,3837909
0,46,4062255,3889372
0,47,4068585,4058038
0,48,4145797,4282657
0,49,4397069,4329775
0,50,4479191,4096572
0,51,4476281,4004343
0,52,4467724,4001782
0,53,4523245,4068851
0,54,4563253,4305603
0,55,4410443,4374565
0,56,4384452,4361016
0,57,4335908,4342385
0,58,4180851,4385570
0,59,4145881,4413855
0,60,3976405,4252663
0,61,3825701,4215172
0,62,3677408,4156645
0,63,3564597,3996088
0,64,3481789,3950578
0,65,3376670,3774597
0,66,3340649,3618069
0,67,3480104,3464437
0,68,2567511,3345475
0,69,2530460,3252423
0,70,2461426,3136704
0,71,2516392,3083083
0,72,2191642,3191048
0,73,2000102,2334433
0,74,1888141,2283164
0,75,1772432,2198286
0,76,1692960,2222392
0,77,1555971,1911261
0,78,1480735,1720817
0,79,1414010,1599909
0,80,1263540,1475278
0,81,1215634,1381641
0,82,1152926,1241341
0,83,1089054,1151190
0,84,1034418,1067757
0,85,922398,922467
0,86,852675,856646
0,87,767609,778923
0,88,672433,703078
0,89,596951,635982
0,90,510281,536447
0,91,424834,467172
0,92,352528,394067
0,93,284642,320785
0,94,217013,264277
0,95,155992,207086
0,96,120427,157463
0,97,82948,116969
0,98,59546,86150
0,99,41277,57124
0,100,70685,100322
0,999,318301008,328239523
1,0,2024511,1935117
1,1,2018511,1958585
1,2,2023752,2005544
1,3,2049250,2043010
1,4,2043524,2066951
1,5,2042790,2061200
1,6,2109355,2052956
1,7,2121426,2055735
1,8,2104331,2079723
1,9,2096379,2073148
1,10,2099044,2071778
1,11,2082837,2138037
1,12,2074284,2149819
1,13,2127295,2132987
1,14,2163481,2125640
1,15,2128005,2129720
1,16,2129926,2116165
1,17,2136674,2112553
1,18,2162067,2172385
1,19,2217880,2214784
1,20,2266443,2183139
1,21,2307026,2187086
1,22,2365020,2195296
1,23,2398094,2221758
1,24,2389695,2277473
1,25,2293154,2325853
1,26,2236230,2365886
1,27,2196861,2421270
1,28,2203973,2451756
1,29,2215152,2439805
1,30,2137789,2340865
1,31,2167380,2281327
1,32,2162988,2239886
1,33,2136230,2243280
1,34,2187295,2249252
1,35,2042247,2167622
1,36,1999878,2191368
1,37,1973855,2181162
1,38,1916729,2149359
1,39,1980094,2195430
1,40,1910458,2046663
1,41,1934049,2001502
1,42,2025176,1972584
1,43,2140743,1913289
1,44,2177253,1973101
1,45,2059693,1900492
1,46,2015105,1919298
1,47,2012086,2005221
1,48,2051253,2114614
1,49,2173307,2145730
1,50,2204826,2025376
1,51,2198637,1976883
1,52,2191544,1968619
1,53,2213244,2001325
1,54,2237015,2114408
1,55,2152616,2137586
1,56,2134990,2125123
1,57,2104109,2111795
1,58,2022236,2125774
1,59,2001946,2142211
1,60,1909232,2052677
1,61,1832255,2027951
1,62,1758688,1991220
1,63,1696966,1905842
1,64,1657468,1879040
1,65,1603525,1783428
1,66,1585782,1703888
1,67,1650800,1627863
1,68,1208893,1564129
1,69,1184909,1520465
1,70,1146390,1462120
1,71,1167386,1435378
1,72,1009237,1483236
1,73,911716,1074771
1,74,856210,1044301
1,75,802226,998390
1,76,757396,1003690
1,77,688946,854930
1,78,648503,760170
1,79,610218,701319
1,80,539342,643638
1,81,510456,593628
1,82,476098,525766
1,83,441139,480165
1,84,409758,436527
1,85,357527,371082
1,86,321150,337306
1,87,281668,299845
1,88,238929,264191
1,89,204581,232649
1,90,169506,191220
1,91,137534,160941
1,92,109487,131684
1,93,85808,103415
1,94,61989,81893
1,95,42816,61994
1,96,31340,46046
1,97,20541,32611
1,98,13659,23543
1,99,9032,14596
1,100,13577,23472
1,999,156654424,161657324
2,0,1930276,1847935
2,1,1930380,1871014
2,2,1934959,1916500
2,3,1956678,1955655
2,4,1960508,1976372
2,5,1961786,1967081
2,6,2024017,1964271
2,7,2031240,1966584
2,8,2014018,1986471
2,9,2009689,1988726
2,10,2015514,1989162
2,11,2001620,2051224
2,12,1992903,2058568
2,13,2040800,2042234
2,14,2067872,2038819
2,15,2034823,2045739
2,16,2035999,2034255
2,17,2045266,2029872
2,18,2059277,2083442
2,19,2102909,2115655
2,20,2144467,2086544
2,21,2173240,2091237
2,22,2239095,2103476
2,23,2294201,2119886
2,24,2296658,2167045
2,25,2208092,2213205
2,26,2160935,2245334
2,27,2127935,2312599
2,28,2141274,2366969
2,29,2167038,2366339
2,30,2109158,2273519
2,31,2147071,2220984
2,32,2151219,2181619
2,33,2131991,2189693
2,34,2166689,2210880
2,35,2041918,2148244
2,36,2004540,2181076
2,37,1990584,2180124
2,38,1932127,2156217
2,39,1989243,2186919
2,40,1935367,2058650
2,41,1971748,2018752
2,42,2058648,2002157
2,43,2178522,1940751
2,44,2198197,1994174
2,45,2087839,1937417
2,46,2047150,1970074
2,47,2056499,2052817
2,48,2094544,2168043
2,49,2223762,2184045
2,50,2274365,2071196
2,51,2277644,2027460
2,52,2276180,2033163
2,53,2310001,2067526
2,54,2326238,2191195
2,55,2257827,2236979
2,56,2249462,2235893
2,57,2231799,2230590
2,58,2158615,2259796
2,59,2143935,2271644
2,60,2067173,2199986
2,61,1993446,2187221
2,62,1918720,2165425
2,63,1867631,2090246
2,64,1824321,2071538
2,65,1773145,1991169
2,66,1754867,1914181
2,67,1829304,1836574
2,68,1358618,1781346
2,69,1345551,1731958
2,70,1315036,1674584
2,71,1349006,1647705
2,72,1182405,1707812
2,73,1088386,1259662
2,74,1031931,1238863
2,75,970206,1199896
2,76,935564,1218702
2,77,867025,1056331
2,78,832232,960647
2,79,803792,898590
2,80,724198,831640
2,81,705178,788013
2,82,676828,715575
2,83,647915,671025
2,84,624660,631230
2,85,564871,551385
2,86,531525,519340
2,87,485941,479078
2,88,433504,438887
2,89,392370,403333
2,90,340775,345227
2,91,287300,306231
2,92,243041,262383
2,93,198834,217370
2,94,155024,182384
2,95,113176,145092
2,96,89087,111417
2,97,62407,84358
2,98,45887,62607
2,99,32245,42528
2,100,57108,76850
2,999,161646584,166582199
