SalePrice,1st Flr SF,2nd Flr SF,Total Bsmt SF,Garage Area,Wood Deck SF,Open Porch SF,Lot Area,Year Built,Yr Sold
215000,1656,0,1080.0,528.0,210,62,31770,1960,2010
105000,896,0,882.0,730.0,140,0,11622,1961,2010
172000,1329,0,1329.0,312.0,393,36,14267,1958,2010
244000,2110,0,2110.0,522.0,0,0,11160,1968,2010
189900,928,701,928.0,482.0,212,34,13830,1997,2010
195500,926,678,926.0,470.0,360,36,9978,1998,2010
189000,1028,776,994.0,442.0,140,60,7500,1999,2010
175900,763,892,763.0,440.0,157,84,10000,1993,2010
185000,1187,0,1168.0,420.0,483,21,7980,1992,2010
180400,789,676,789.0,393.0,0,75,8402,1998,2010
171500,1341,0,1300.0,506.0,192,0,10176,1990,2010
538000,1690,1589,1650.0,841.0,503,36,53504,2003,2010
164000,1080,672,559.0,492.0,325,12,12134,1988,2010
141000,864,0,864.0,400.0,0,0,19138,1951,2010
210000,2073,0,1542.0,500.0,349,0,13175,1978,2010
190000,1844,0,1844.0,546.0,0,122,11751,1977,2010
216000,814,860,814.0,663.0,0,96,7500,2000,2010
149000,1004,0,1004.0,480.0,0,0,11241,1970,2010
149900,1078,0,1078.0,500.0,0,0,12537,1971,2010
142000,1056,0,1056.0,304.0,0,85,8450,1968,2010
126000,882,0,882.0,525.0,240,0,8400,1970,2010
115000,864,0,864.0,0.0,0,0,10500,1971,2010
306000,1704,0,1704.0,772.0,0,50,11478,2007,2010
275000,1698,0,1698.0,730.0,192,74,11520,2005,2010
259000,1822,0,1822.0,678.0,0,119,14122,2005,2010
214000,1535,0,1517.0,532.0,0,0,10171,2004,2010
500000,2696,0,2846.0,958.0,220,150,14300,2003,2010
320000,1687,563,1671.0,756.0,238,130,13650,2002,2010
199500,1324,0,1324.0,430.0,36,23,18494,2005,2010
184500,744,630,384.0,400.0,100,0,13300,2004,2010
216500,860,1100,860.0,440.0,288,48,7851,2002,2010
185088,847,886,847.0,433.0,144,48,8577,2004,2010
180000,774,656,384.0,400.0,180,0,7750,2000,2010
222500,884,1151,884.0,434.0,144,48,9505,2001,2010
333168,1422,1177,1393.0,779.0,668,30,14774,1999,2010
355000,1645,830,1629.0,962.0,23,172,17433,1998,2010
260400,1720,0,1720.0,527.0,240,56,10593,1996,2010
325000,1500,1122,1463.0,712.0,186,32,12256,1994,2010
290000,1164,1106,1152.0,671.0,132,57,11764,1999,2010
221000,1195,644,1195.0,486.0,0,81,16770,1998,2010
410000,2053,1185,2033.0,666.0,283,86,14720,1995,2010
221500,1595,0,1595.0,880.0,144,0,8987,2005,2010
215200,764,783,756.0,614.0,169,45,8640,2009,2010
262500,1566,0,1566.0,750.0,144,168,9000,2008,2010
254900,991,956,991.0,678.0,0,136,12552,2004,2010
271500,1468,0,1468.0,528.0,0,102,10440,2005,2010
233000,956,1128,956.0,618.0,0,45,10142,2004,2010
181000,831,828,831.0,484.0,144,68,11920,2004,2010
205000,1222,888,948.0,463.0,0,130,8880,1994,2010
189000,1055,790,1055.0,462.0,635,104,11218,1992,2010
194500,1014,730,996.0,457.0,370,70,9453,1993,2010
152000,1097,0,1040.0,480.0,0,0,9672,1984,2010
171000,888,676,650.0,476.0,0,50,8400,1980,2010
67500,1012,0,816.0,429.0,121,0,9800,1920,2010
148000,1155,0,1109.0,576.0,192,0,11782,1961,2010
138500,894,0,894.0,336.0,416,144,8450,1965,2010
122000,900,0,882.0,280.0,0,0,9819,1967,2010
133000,1040,0,1040.0,308.0,0,0,7500,1963,2010
127000,1040,0,1040.0,260.0,0,104,6897,1962,2010
190000,1061,862,750.0,564.0,240,39,10186,1992,2010
362500,1251,1098,1231.0,762.0,32,130,13143,1993,2010
285000,1402,823,1390.0,713.0,198,30,11134,1992,2010
254000,975,873,975.0,592.0,280,184,7379,2000,2010
130500,725,754,725.0,475.0,0,44,13517,1976,2010
230000,1492,0,1492.0,596.0,277,137,8000,2002,2010
218500,1829,0,1829.0,535.0,0,76,10456,1967,2010
243500,1280,1215,1280.0,660.0,224,32,10791,1993,2010
205000,1610,0,1610.0,480.0,168,68,10603,1977,2010
212500,1287,604,1224.0,678.0,0,69,18837,1978,2010
196500,980,734,980.0,496.0,228,66,10421,1988,2010
197500,1381,0,1161.0,676.0,0,0,9360,1972,2010
171000,930,715,715.0,441.0,0,78,9600,1971,2010
142250,1232,0,1232.0,490.0,0,224,9600,1966,2010
143000,1328,0,1328.0,528.0,0,26,9790,1963,2010
128950,1225,0,950.0,0.0,352,0,9320,1959,2010
159000,1209,0,1209.0,504.0,0,0,9900,1966,2010
178900,1510,0,1510.0,517.0,0,40,9680,1967,2010
180500,1152,0,1152.0,484.0,227,0,14112,1964,2010
142125,1078,0,1078.0,240.0,366,0,9717,1950,2010
197600,1929,532,1140.0,400.0,0,0,9724,1952,2010
172500,1019,537,782.0,470.0,0,0,17360,1949,2010
116500,858,0,858.0,0.0,117,0,7207,1958,2010
76500,1306,0,728.0,0.0,263,0,5350,1940,2010
128000,1063,0,1056.0,280.0,0,0,9920,1954,2010
153000,1520,0,1156.0,364.0,0,0,9600,1955,2010
132000,1268,0,1268.0,244.0,0,98,7800,1954,2010
178000,1128,0,1080.0,315.0,238,0,11380,1966,2010
180000,2207,0,1947.0,576.0,301,0,19900,1970,2010
190000,1888,0,1517.0,578.0,0,0,16492,1966,2010
214000,1480,0,1480.0,620.0,252,73,8197,2003,2010
136000,1143,0,1143.0,308.0,0,0,8050,1959,2010
165500,1700,0,1398.0,447.0,0,38,10552,1959,2010
145000,1314,0,1314.0,294.0,250,0,8400,1957,2010
148000,1194,0,1194.0,312.0,0,0,8760,1959,2010
167500,1264,0,1268.0,461.0,0,0,9300,1960,2010
108538,1206,0,1206.0,312.0,0,21,10725,1959,2010
159500,1580,0,1244.0,440.0,0,28,10032,1959,2010
108000,832,505,832.0,263.0,0,0,8382,1956,2010
135000,1064,0,864.0,318.0,0,0,10950,1952,2010
122500,972,0,972.0,305.0,0,0,10895,1955,2010
105000,985,0,576.0,676.0,0,0,7898,1920,2010
107500,827,0,0.0,392.0,0,0,7200,1955,2010
144900,1086,0,1086.0,490.0,0,0,10200,1954,2010
129000,936,0,936.0,308.0,0,0,5868,1956,2010
162000,1287,0,1063.0,576.0,364,17,9830,1959,2010
242000,1898,1080,710.0,564.0,240,0,11275,1967,2010
132000,816,408,816.0,280.0,414,0,8064,1948,2010
154000,1246,0,1246.0,305.0,218,0,7500,1959,2010
166000,910,475,910.0,720.0,0,0,8520,1952,2010
134800,900,0,900.0,576.0,222,32,7200,1951,2010
160000,1116,0,1116.0,440.0,0,0,10000,1962,2010
148000,1175,0,1175.0,484.0,0,0,7635,1960,2010
192000,1395,0,1395.0,440.0,657,0,9760,1963,2010
155000,1051,788,756.0,442.0,0,124,7700,1966,2010
96500,792,348,576.0,0.0,0,160,8800,1910,2010
109500,936,0,936.0,0.0,51,0,4485,1920,2010
115000,1028,0,1008.0,360.0,0,0,8960,1927,2010
143000,1347,0,1347.0,551.0,0,0,5805,1957,2010
107400,840,765,840.0,379.0,0,0,5790,1915,2010
80000,747,0,747.0,220.0,0,0,4608,1945,2010
130000,926,0,926.0,484.0,0,0,5500,1929,2010
119000,827,424,827.0,240.0,0,0,6900,1938,2010
129000,1027,606,1027.0,240.0,0,100,11851,1948,2010
100000,1060,185,1008.0,315.0,0,0,8239,1920,2010
105900,720,0,624.0,484.0,106,0,8520,1928,2010
139000,966,686,686.0,416.0,0,0,10800,1915,2010
240000,1157,1111,346.0,624.0,0,108,9000,1890,2010
149700,1236,0,912.0,923.0,0,158,7407,1957,2010
125500,741,622,622.0,528.0,0,0,7740,1910,2010
140750,868,602,738.0,624.0,0,0,10560,1922,2010
128500,1030,582,988.0,363.0,0,0,5830,1950,2010
209500,1160,908,1108.0,315.0,0,0,7793,1922,2010
87000,765,0,765.0,200.0,135,0,5000,1925,2010
128000,848,348,572.0,576.0,0,0,6000,1940,2010
132000,955,498,835.0,240.0,0,0,6360,1942,2010
139900,780,636,780.0,312.0,221,0,6000,1948,2010
123900,548,492,528.0,624.0,306,0,6240,1936,2010
138400,928,608,928.0,480.0,0,10,6240,1930,2010
109500,1068,0,1124.0,288.0,0,0,6120,1923,2010
140000,902,808,576.0,480.0,12,11,10300,1921,2010
149500,888,1074,888.0,572.0,160,0,8094,1915,2010
159900,780,780,780.0,0.0,344,0,12900,1912,2010
122000,662,662,662.0,180.0,0,0,3068,1920,2010
244400,1207,1196,1032.0,349.0,56,0,24090,1940,2010
173000,1675,0,1422.0,365.0,0,132,15263,1959,2010
107500,725,499,689.0,180.0,0,0,10632,1917,2010
95000,600,319,600.0,231.0,0,0,6001,1940,2010
