SalePrice,1st Flr SF,Total Bsmt SF,Garage Area,Year Built
215000,1656,1080.0,528.0,1960
105000,896,882.0,730.0,1961
172000,1329,1329.0,312.0,1958
244000,2110,2110.0,522.0,1968
189900,928,928.0,482.0,1997
195500,926,926.0,470.0,1998
189000,1028,994.0,442.0,1999
175900,763,763.0,440.0,1993
185000,1187,1168.0,420.0,1992
180400,789,789.0,393.0,1998
171500,1341,1300.0,506.0,1990
538000,1690,1650.0,841.0,2003
164000,1080,559.0,492.0,1988
141000,864,864.0,400.0,1951
210000,2073,1542.0,500.0,1978
190000,1844,1844.0,546.0,1977
216000,814,814.0,663.0,2000
149000,1004,1004.0,480.0,1970
149900,1078,1078.0,500.0,1971
142000,1056,1056.0,304.0,1968
126000,882,882.0,525.0,1970
115000,864,864.0,0.0,1971
306000,1704,1704.0,772.0,2007
275000,1698,1698.0,730.0,2005
259000,1822,1822.0,678.0,2005
214000,1535,1517.0,532.0,2004
500000,2696,2846.0,958.0,2003
320000,1687,1671.0,756.0,2002
199500,1324,1324.0,430.0,2005
184500,744,384.0,400.0,2004
216500,860,860.0,440.0,2002
185088,847,847.0,433.0,2004
180000,774,384.0,400.0,2000
222500,884,884.0,434.0,2001
333168,1422,1393.0,779.0,1999
355000,1645,1629.0,962.0,1998
260400,1720,1720.0,527.0,1996
325000,1500,1463.0,712.0,1994
290000,1164,1152.0,671.0,1999
221000,1195,1195.0,486.0,1998
410000,2053,2033.0,666.0,1995
221500,1595,1595.0,880.0,2005
215200,764,756.0,614.0,2009
262500,1566,1566.0,750.0,2008
254900,991,991.0,678.0,2004
271500,1468,1468.0,528.0,2005
233000,956,956.0,618.0,2004
181000,831,831.0,484.0,2004
205000,1222,948.0,463.0,1994
189000,1055,1055.0,462.0,1992
194500,1014,996.0,457.0,1993
152000,1097,1040.0,480.0,1984
171000,888,650.0,476.0,1980
67500,1012,816.0,429.0,1920
148000,1155,1109.0,576.0,1961
138500,894,894.0,336.0,1965
122000,900,882.0,280.0,1967
133000,1040,1040.0,308.0,1963
127000,1040,1040.0,260.0,1962
190000,1061,750.0,564.0,1992
