Year,Total Gross,Number of Movies,#1 Movie
2015,11128.5,702,Star Wars: The Force Awakens
2014,10360.8,702,American Sniper
2013,10923.6,688,Catching Fire
2012,10837.4,667,The Avengers
2011,10174.3,602,Harry Potter / Deathly Hallows (P2)
2010,10565.6,536,Toy Story 3
2009,10595.5,521,Avatar
2008,9630.7,608,The Dark Knight
2007,9663.8,631,Spider-Man 3
2006,9209.5,608,Dead Man's Chest
2005,8840.5,547,Revenge of the Sith
2004,9380.5,551,Shrek 2
2003,9239.7,506,Return of the King
2002,9155.0,479,Spider-Man
2001,8412.5,482,Harry Potter / Sorcerer's Stone
2000,7661.0,478,The Grinch
