father,mother,parental average,son
78.5,67.0,72.75,73.2
75.5,66.5,71.0,73.5
75.0,64.0,69.5,71.0
75.0,64.0,69.5,70.5
75.0,58.5,66.75,72.0
74.0,68.0,71.0,76.5
74.0,62.0,68.0,74.0
73.0,67.0,70.0,71.0
73.0,67.0,70.0,68.0
73.0,66.5,69.75,71.0
73.0,65.0,69.0,72.0
73.0,64.5,68.75,74.0
72.7,69.0,70.85,73.2
72.0,68.0,70.0,73.0
72.0,67.0,69.5,73.0
72.0,65.0,68.5,74.2
72.0,63.0,67.5,70.5
72.0,63.0,67.5,69.0
72.0,63.0,67.5,73.0
72.5,62.0,67.25,71.0
72.0,62.0,67.0,74.0
72.0,62.0,67.0,72.0
71.0,69.0,70.0,78.0
71.0,67.0,69.0,73.2
71.0,66.0,68.5,70.0
71.0,66.0,68.5,70.0
71.0,66.0,68.5,71.0
71.0,66.0,68.5,76.0
71.7,65.5,68.6,70.5
71.0,65.5,68.25,72.0
71.5,65.5,68.5,73.0
71.5,65.0,68.25,68.5
71.0,65.0,68.0,68.0
71.7,64.5,68.1,72.0
71.0,64.0,67.5,68.0
71.5,64.5,68.0,72.0
71.0,64.5,67.75,73.0
71.0,63.5,67.25,71.0
71.0,63.0,67.0,71.0
71.0,63.0,67.0,71.0
71.0,62.0,66.5,71.0
71.0,62.0,66.5,72.0
71.0,62.5,66.75,70.0
71.0,62.0,66.5,70.5
71.0,58.0,64.5,71.5
70.0,69.0,69.5,71.0
70.0,69.0,69.5,70.0
70.0,68.0,69.0,75.0
70.0,67.0,68.5,70.0
70.0,66.5,68.25,73.0
70.5,65.0,67.75,72.0
70.0,65.0,67.5,73.0
70.0,65.0,67.5,67.0
70.0,65.0,67.5,70.0
70.0,65.0,67.5,79.0
70.0,65.0,67.5,73.0
70.0,65.0,67.5,69.0
70.0,64.7,67.35,72.0
70.0,64.0,67.0,70.7
70.0,64.0,67.0,70.0
70.0,64.2,67.1,72.0
70.5,64.0,67.25,74.0
70.0,64.0,67.0,68.0
70.0,64.0,67.0,71.0
70.0,63.7,66.85,70.0
70.5,63.0,66.75,70.0
70.5,63.0,66.75,72.5
70.0,63.5,66.75,71.0
70.0,63.0,66.5,68.0
70.0,63.0,66.5,70.0
70.5,62.0,66.25,72.0
70.3,62.7,66.5,70.7
70.5,62.0,66.25,72.0
70.0,61.0,65.5,71.2
70.0,60.0,65.0,67.0
70.0,58.5,64.25,71.5
70.0,58.0,64.0,72.0
69.0,68.5,68.75,75.0
69.0,66.0,67.5,73.0
69.0,66.0,67.5,71.2
69.0,66.7,67.85,75.0
69.0,66.0,67.5,70.0
69.0,66.5,67.75,73.0
69.5,66.5,68.0,70.5
69.0,66.5,67.75,71.0
69.5,66.0,67.75,71.0
69.0,66.0,67.5,73.0
69.0,65.0,67.0,70.0
69.5,64.5,67.0,69.7
69.2,64.0,66.6,71.7
69.0,63.0,66.0,69.0
69.0,63.0,66.0,72.0
69.0,63.0,66.0,73.0
69.0,63.5,66.25,70.5
69.0,63.5,66.25,70.5
69.5,62.0,65.75,73.0
69.0,62.0,65.5,73.0
69.5,62.0,65.75,72.0
69.0,62.5,65.75,71.0
69.0,62.0,65.5,72.0
69.5,61.0,65.25,70.0
69.0,61.0,65.0,68.0
69.0,60.0,64.5,70.5
69.0,60.0,64.5,69.0
69.0,60.5,64.75,69.5
68.7,70.5,69.6,71.0
68.5,67.0,67.75,73.0
68.5,66.5,67.5,70.0
68.0,65.0,66.5,67.5
68.0,65.5,66.75,66.0
68.0,65.5,66.75,71.7
68.0,65.0,66.5,72.0
68.5,65.0,66.75,69.2
68.5,65.0,66.75,72.0
68.0,64.0,66.0,71.0
68.0,64.0,66.0,66.0
68.0,64.0,66.0,71.2
68.0,64.0,66.0,69.0
68.0,63.0,65.5,70.5
68.5,63.5,66.0,73.5
68.0,63.0,65.5,67.0
68.0,63.0,65.5,70.0
68.0,63.0,65.5,71.0
68.0,63.0,65.5,67.0
68.5,63.5,66.0,68.2
68.0,63.0,65.5,70.0
68.2,63.5,65.85,70.0
68.0,62.5,65.25,68.5
68.7,62.0,65.35,67.7
68.0,62.5,65.25,66.5
68.0,61.0,64.5,68.5
68.0,60.2,64.1,66.7
68.0,60.0,64.0,64.0
68.0,60.0,64.0,67.5
68.5,59.0,63.75,69.0
68.0,59.0,63.5,68.0
67.0,66.2,66.6,72.7
67.0,66.5,66.75,71.0
67.0,66.0,66.5,73.0
67.0,65.0,66.0,69.7
67.0,65.5,66.25,70.0
67.0,65.5,66.25,70.0
67.0,65.0,66.0,65.0
67.5,65.0,66.25,71.0
67.0,64.0,65.5,71.5
67.0,63.5,65.25,71.0
67.0,63.0,65.0,69.0
67.5,62.0,64.75,70.0
67.0,61.0,64.0,67.0
66.0,67.0,66.5,70.5
66.0,67.0,66.5,72.0
66.0,66.0,66.0,66.0
66.0,66.0,66.0,72.0
66.5,65.0,65.75,68.7
66.0,65.5,65.75,72.0
66.0,63.0,64.5,70.0
66.5,63.0,64.75,67.2
