father,mother,parental average,son,prediction,residual
78.5,67.0,72.75,73.2,75.1976624093,-1.99766240933
75.5,66.5,71.0,73.5,73.8597203591,-0.359720359062
75.0,64.0,69.5,71.0,72.7129128874,-1.7129128874
75.0,64.0,69.5,70.5,72.7129128874,-2.2129128874
75.0,58.5,66.75,72.0,70.6104325227,1.38956747731
74.0,68.0,71.0,76.5,73.8597203591,2.64027964094
74.0,62.0,68.0,74.0,71.5661054157,2.43389458426
73.0,67.0,70.0,71.0,73.0951820446,-2.09518204462
73.0,67.0,70.0,68.0,73.0951820446,-5.09518204462
73.0,66.5,69.75,71.0,72.904047466,-1.90404746601
73.0,65.0,69.0,72.0,72.3306437302,-0.33064373018
73.0,64.5,68.75,74.0,72.1395091516,1.86049084843
72.7,69.0,70.85,73.2,73.7450396119,-0.545039611895
72.0,68.0,70.0,73.0,73.0951820446,-0.095182044621
72.0,67.0,69.5,73.0,72.7129128874,0.287087112599
72.0,65.0,68.5,74.2,71.948374573,2.25162542704
72.0,63.0,67.5,70.5,71.1838362585,-0.68383625852
72.0,63.0,67.5,69.0,71.1838362585,-2.18383625852
72.0,63.0,67.5,73.0,71.1838362585,1.81616374148
72.5,62.0,67.25,71.0,70.9927016799,0.00729832009057
72.0,62.0,67.0,74.0,70.8015671013,3.1984328987
72.0,62.0,67.0,72.0,70.8015671013,1.1984328987
71.0,69.0,70.0,78.0,73.0951820446,4.90481795538
71.0,67.0,69.0,73.2,72.3306437302,0.86935626982
71.0,66.0,68.5,70.0,71.948374573,-1.94837457296
71.0,66.0,68.5,70.0,71.948374573,-1.94837457296
71.0,66.0,68.5,71.0,71.948374573,-0.94837457296
71.0,66.0,68.5,76.0,71.948374573,4.05162542704
71.7,65.5,68.6,70.5,72.0248284044,-1.5248284044
71.0,65.5,68.25,72.0,71.7572399944,0.24276000565
71.5,65.5,68.5,73.0,71.948374573,1.05162542704
71.5,65.0,68.25,68.5,71.7572399944,-3.25723999435
71.0,65.0,68.0,68.0,71.5661054157,-3.56610541574
71.7,64.5,68.1,72.0,71.6425592472,0.357440752816
71.0,64.0,67.5,68.0,71.1838362585,-3.18383625852
71.5,64.5,68.0,72.0,71.5661054157,0.43389458426
71.0,64.5,67.75,73.0,71.3749708371,1.62502916287
71.0,63.5,67.25,71.0,70.9927016799,0.00729832009057
71.0,63.0,67.0,71.0,70.8015671013,0.198432898701
71.0,63.0,67.0,71.0,70.8015671013,0.198432898701
71.0,62.0,66.5,71.0,70.4192979441,0.580702055921
71.0,62.0,66.5,72.0,70.4192979441,1.58070205592
71.0,62.5,66.75,70.0,70.6104325227,-0.610432522689
71.0,62.0,66.5,70.5,70.4192979441,0.080702055921
