Year,Declared
Second,True
Second,True
Second,True
Second,True
Second,True
Second,True
Second,True
Second,True
Second,True
Second,True
Second,True
Second,True
Second,True
Second,True
Second,True
Second,True
Second,True
Second,True
Second,True
Second,True
Second,True
Second,True
Second,True
Second,True
Second,True
Second,True
Second,True
Second,True
Second,True
Second,True
Second,False
Second,False
Second,False
Second,False
Second,False
Second,False
Second,False
Second,False
Second,False
Second,False
Second,False
Second,False
Second,False
Second,False
Second,False
Second,False
Second,False
Second,False
Second,False
Second,False
Second,False
Second,False
Second,False
Second,False
Second,False
Second,False
Second,False
Second,False
Second,False
Second,False
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,True
Third,False
Third,False
Third,False
Third,False
Third,False
Third,False
Third,False
Third,False
