Day,High,Low,Condition
1,78.1,56.8,Sunny
2,74.6,54.9,Sunny
3,78.2,56.6,Sunny
4,82.2,58.4,Sunny
5,73.1,53.7,Sunny
6,72.8,53.3,Sunny
7,81.5,57.5,Sunny
8,77.1,55.2,Sunny
9,70.6,51.7,Sunny
10,75.3,53.9,Sunny
11,69.9,51.1,Sunny
12,69.6,50.7,Cloudy
13,72.8,52.2,Sunny
14,61.6,46.4,Sunny
15,62.2,46.5,Sunny
16,67.7,49.1,Sunny
17,65.1,47.6,Sunny
18,71.4,50.6,Sunny
19,64.9,47.2,Sunny
20,62.1,45.6,Sunny
21,76.1,52.5,Cloudy
22,67.3,47.9,Sunny
23,68.4,48.3,Sunny
24,60.6,44.2,Sunny
25,64.7,46.1,Sunny
26,67.6,47.4,Sunny
27,61.0,43.9,Sunny
28,68.3,47.3,Sunny
29,63.1,44.6,Sunny
30,64.3,45.0,Sunny
31,62.4,43.9,Sunny
32,74.3,49.7,Cloudy
33,64.7,44.7,Sunny
34,59.1,41.8,Sunny
35,68.2,46.1,Sunny
36,57.6,40.7,Sunny
37,64.5,43.9,Sunny
38,53.3,38.2,Sunny
39,56.1,39.4,Sunny
40,63.4,42.9,Sunny
41,65.8,44.0,Cloudy
42,62.7,42.2,Sunny
43,60.9,41.2,Sunny
44,59.7,40.4,Sunny
45,53.5,37.2,Sunny
46,57.0,38.8,Sunny
47,58.0,39.1,Cloudy
48,65.3,42.6,Sunny
49,61.4,40.5,Sunny
50,50.6,35.0,Sunny
51,60.7,39.9,Sunny
52,56.9,37.8,Sunny
53,55.1,36.8,Sunny
54,61.3,39.8,Sunny
55,63.1,40.5,Sunny
56,62.4,40.0,Cloudy
57,53.2,35.3,Sunny
58,55.6,36.4,Cloudy
59,58.6,37.7,Sunny
60,61.5,39.1,Cloudy
61,54.0,35.2,Sunny
62,55.2,35.7,Sunny
63,50.4,33.1,Sunny
64,49.7,32.7,Sunny
65,59.5,37.4,Sunny
66,62.0,38.6,Cloudy
67,54.6,34.8,Sunny
68,59.7,37.2,Sunny
69,56.3,35.4,Cloudy
70,51.1,32.7,Cloudy
71,55.9,35.0,Sunny
72,61.6,37.7,Sunny
73,53.5,33.6,Sunny
74,61.3,37.4,Sunny
75,40.2,26.7,Sunny
76,57.2,35.1,Sunny
77,53.3,33.1,Sunny
78,51.2,32.0,Cloudy
79,53.0,32.8,Sunny
80,42.5,27.4,Sunny
81,51.1,31.7,Sunny
82,53.9,33.0,Sunny
83,59.3,35.6,Sunny
84,49.2,30.5,Sunny
85,47.6,29.6,Sunny
86,49.0,30.3,Sunny
87,56.0,33.7,Sunny
88,52.9,32.1,Sunny
89,48.5,29.8,Sunny
90,53.6,32.3,Cloudy
91,51.4,31.2,Sunny
92,55.7,33.2,Cloudy
93,47.2,29.0,Sunny
94,49.0,29.8,Sunny
95,48.6,29.6,Cloudy
96,43.2,26.8,Cloudy
97,51.9,31.1,Sunny
98,51.6,31.0,Cloudy
99,50.3,30.3,Sunny
100,49.1,29.6,Sunny
101,43.1,26.6,Cloudy
102,48.0,29.1,Sunny
103,48.4,29.2,Sunny
104,46.1,28.1,Sunny
105,49.2,29.6,Sunny
106,52.0,31.0,Sunny
107,59.4,34.7,Sunny
108,50.9,30.4,Sunny
109,51.3,30.6,Sunny
110,49.6,29.8,Sunny
111,40.4,25.2,Sunny
112,49.9,30.0,Sunny
113,50.4,30.2,Sunny
114,62.4,36.2,Sunny
115,49.2,29.6,Sunny
116,51.7,30.9,Sunny
117,50.0,30.1,Sunny
118,44.4,27.3,Sunny
119,56.0,33.2,Sunny
120,54.1,32.3,Sunny
121,54.4,32.4,Sunny
122,46.0,28.2,Sunny
123,57.6,34.1,Sunny
124,43.7,27.2,Sunny
125,53.7,32.2,Cloudy
126,61.8,36.4,Sunny
127,46.0,28.5,Sunny
128,48.3,29.7,Sunny
129,51.7,31.5,Sunny
130,48.8,30.1,Sunny
131,43.7,27.6,Sunny
132,51.9,31.8,Sunny
133,46.4,29.1,Cloudy
134,54.2,33.0,Sunny
135,47.4,29.7,Cloudy
136,59.9,36.0,Sunny
137,48.4,30.4,Sunny
138,50.9,31.7,Cloudy
139,56.7,34.7,Sunny
140,46.7,29.7,Sunny
141,54.1,33.6,Sunny
142,59.7,36.5,Sunny
143,45.3,29.4,Sunny
144,54.5,34.0,Sunny
145,55.1,34.4,Sunny
146,57.9,35.9,Sunny
147,48.0,31.1,Sunny
148,47.8,31.1,Sunny
149,57.2,35.9,Sunny
150,56.3,35.6,Sunny
151,56.3,35.7,Sunny
152,57.0,36.2,Sunny
153,52.1,33.8,Sunny
154,56.9,36.3,Sunny
155,57.5,36.7,Cloudy
